R - s
L - n
U - i
D - e
F - space
R' - r
L' - o
U' - t
B' - a
B F U L L L D - 책
B F U L L L F - 助
B F U L L U R - ജ
B F U L L U L - 産
B F U L L U U - ǰ
B F U L L U B - 油
B F U L L U D - 求
B F U L L U F - 游
B F U L L B R - 満
B F U L L B L - 郑
B F U L L B U - 盟
B F U L L B B - 历
B F U L L B D - 欢
B F U L L B F - 很
B F U L L D R - 振
B F U L L D L - 壁
B F U L L D U - ヘ
B F U L L D B - 妈
B F U L L D D - 旗
B F U L L D F - ક
B F U L L F R - 附
B F U L L F L - 骨
B F U L L F U - 
B F U L L F B - ୁ
B F U L L F D - Ἐ
B F U L L F F - 乱
B F U L U R R - 鼠
B F U L U R L - Ἤ
B F U L U R U - 餘
B F U L U R B - 晚
B F U L U R D - ㄛ
B F U L U R F - ๑
B F U L B' R' - さ
B F U L B' L' - Π
B F U L B' U' - 국
B F U L B' B' - 水
B F U L B' D' - մ
B F U L B' F' - 木
B F U B U' R' - 區
B F U B U' L' - ู
B F U B U' U' - 平
B F U B B R R - ପ
B F U B B R L - 終
B F U B B R U - 昂
B F U B B R B - 願
B F U B B R D - ձ
B F U B B R F - 虫
B F U B B L R - 您
B F U B B L L - 施
B F U B B L U - 绿
B F U B B L B - ᾏ
B F U B B L D - ᾼ
B F U B B L F - ۹
B F U B B U R - 扇
B F U B B U L - ඎ
B F U B B U U - எ
B F U B B U B - 統
B F U B B U D - ጵ
B F U B B U F - 儀
B F U B B B R - 変
B F U B B B L - 참
B F U B B B U - 편
B F U B B B B - 庵
B F U B B B D - 겨
B F U B B B F - ඖ
B F U B B F R - 霞
B F U B B F L - Ռ
B F U B B F U - ヲ
B F U B B F B - ច
B F U B B F D - ぞ
B F U B B F F - េ
B F U B B' R' - ے
B F U B B' L' - ニ
B F U B B' F' - ʙ
B F U B D' R' - ■
B F U B D' L' - ų
B F U B D' U' - ো
B F U B D' B' - ꯈ
B F U B D' D' - 자
B F U B D' F' - ஸ
B F U B' R R' - 式
B F U B' R L' - ꯀ
B F U B' R U' - り
B F U B' R B' - ĸ
B F U B' R D' - 美
B F U B' R F' - ắ
B F U B' L R' - Э
B F U B' L L' - ミ
B F U B' L U' - 井
B F U B' L B' - ⁿ
B F U B' L D' - ○
B F U B' L F' - 도
B F U B' U' R - 성
B F U B' U' U - ✧
B F U B' U' B - յ
B F U B' U' D - Â
B F U B' U' F - ÷
B F U B' B R' - 野
B F U B' B L' - چ
B F U B' B U' - მ
B F U B' B B' - ם
B F U B' B D' - 》
B F U B' B F' - ლ
B F U B' F R' - 기
B F U B' F L' - È
B F U B' F U' - 史
B F U B' F B' - ¢
B F U B' F D' - 다
B F U F' L R' - 정
B F U F' L L' - な
B F U F' L U' - ャ
B F U F' L B' - №
B F U F' L D' - ṉ
B F U F' L F' - ן
B F U F' L' R - ་
B F U F' L' L - ố
B F U F' L' U - Κ
B F U F' L' B - ꯏ
B F U F' L' D - ̌
B F U F' L' F - ო
B F U F' D' R - 区
B F U F' D' L - テ
B F U F' D' U - ュ
B F U F' D' B - ꯧ
B F U F' D' D - ̄
B F U F' D' F - ू
B F U F' F' R - แ
B F U F' F' L - ุ
B F U F' F' U - ！
B F U F' F' B - 元
B F U F' F' D - 市
B F U F' F' F - カ
B F D' L' L R - ɤ
B F D' L' L L - ☆
B F D' L' L F - ̊
B F D' L' B L - ẽ
B F D' L' B U - 和
B F D' L' B B - レ
B F D' L' B D - ấ
B F D' L' B F - ộ
B F D' L' F R - フ
B F D' L' F L - う
B F D' L' F U - 🪻
B F D' L' F B - ♪
B F D' L' F D - भ
B F D' L' F F - ල
B F D' U' L R - ს
B F D' U' L L - ื
B F D' U' L U - と
B F D' U' L B - 동
B F D' U' L D - ₹
B F D' U' L F - ק
B F D' U' D B - マ
B F D' U' D D - 선
B F D' U' D F - ṯ
B F D' B L R' - ￼
B F D' B L L' - ★
B F D' B L U' - 𝓮
B F D' B L B' - 𝓽
B F D' B L D' - 𝓭
B F D' B L F' - ต
B F D' B B R' - ந
B F D' B B L' - ↑
B F D' B B U' - ờ
B F D' B B' U - 官
B F D' B B' F - 🪶
B F D' B D' R - ũ
B F D' B D' L - 🐿
B F D' B D' U - ම
B F D' B D' B - た
B F D' B D' D - ん
B F D' B D' F - 安
F' R L' R' L' - ɑ
F' R L' R' D' - ض
F' R L' R' F' - ̯
F' R L' U' U' - ‘
F' R L' U' B' - ɛ
F' R L' U' F' - ز
F' R L' F' R' - ī
F' R L' F' L' - æ
F' R L' F' D' - у
F' R D' L L R - श
F' R D' L L L - ด
F' R D' L L U - ב
F' R D' L L B - ী
F' R D' L B R - 女
F' R D' L B L - „
F' R D' L B U - ह
F' R D' L B B - ṭ
F' R D' L B F - ี
F' R D' U B R - ό
F' R D' U B B - 子
F' R D' U B D - 山
F' R D' U B F - ј
F' R D' F L F - ა
F' R D' F D R - 中
F' R D' F D U - ک
F' R D' F D B - ←
F' R D' F D F - ি
F' B' D' R' R - ً
F' B' D' R' L - л
F' B' D' R' U - т
F' B' D' R' B - ج
F' B' D' R' D - в
F' B' D' U R' - å
F' B' D' U L' - ú
F' B' D' U U' - É
F' B' D' U B' - ذ
F' B' D' U F' - ²
F' B' D' U' R - ×
F' B' D' U' B - â
F' B' D' U' D - °
F' B' D' U' F - š
F' B' D' F R' - и
F' B' D' F L' - е
F' B' D' F F' - о
B F R R D R' R - Ȝ
B F R R D R' L - 筷
B F R R D R' U - 邱
B F R R D R' B - 쓰
B F R R D R' D - 殘
B F R R D R' F - 隱
B F R U D B R' - 규
B F R U D B L' - 꽃
B F R U D B U' - ແ
B F R U D B B' - 塚
B F R U D B D' - 珍
B F R U D B F' - 雷
B F R U D B' R - ⁷
B F R U D B' L - 韩
B F R U D B' U - 济
B F R U D B' B - 薔
B F R U D B' D - 盤
B F R U D B' F - 狂
B F R U D D R' - ਗ
B F R U D D L' - Ҫ
B F R U D D U' - △
B F R U D D B' - ϕ
B F R U D D D' - 殿
B F R U D D F' - 暮
B F R U D D' R - ቋ
B F R U D D' L - 戀
B F R U D D' U - 偉
B F R U D D' B - ល
B F R U D D' D - ំ
B F R U D D' F - ះ
B F R U D F R' - 歳
B F R U D F L' - ὄ
B F R U D F U' - 歡
B F R U D F B' - ܵ
B F R U D F D' - ﯓ
B F R U D F F' - 込
B F R U D F' R - 寒
B F R U D F' L - ડ
B F R U D F' U - 仮
B F R U D F' B - ∧
B F R U D F' D - ∪
B F R U D F' F - ሉ
B F R U' L' R' - ප
B F R U' U R R - ʠ
B F R U' U R L - ʳ
B F R U' U R U - ҟ
B F R U' U R B - Ӫ
B F R U' U R D - Ҥ
B F R U' U R F - ؟
B F R U' U L R - 莲
B F R U' U L L - ထ
B F R U' U L U - Ҽ
B F R U' U L B - Ҏ
B F R U' U L D - 谢
B F R U' U L F - 邑
B F R U' U B R - ϊ
B F R U' U B L - 穆
B F R U' U B U - 妹
B F R U' U B B - 峡
B F R U' U B D - 存
B F R U' U B F - ฺ
B F R U' B R R - ꦺ
B F R U' B R L - ဲ
B F R U' B R U - 葵
B F R U' B R B - Ｃ
B F R U' B R D - 𝼅
B F R U' B R F - ቲ
B F R U' B L R - 含
B F R U' B L L - 彭
B F R U' B L U - ൾ
B F R U' B L B - ＝
B F R U' B L D - ✆
B F R U' B L F - ዝ
B F R U' B U R - ሓ
B F R U' B U L - 展
B F R U' B U U - ˦
B F R U' B U B - འ
B F R U' B U D - 供
B F R U' B U F - 范
B F R U' F D R - 입
B F R U' F D L - 頃
B F R U' F D U - 料
B F R U' F D B - 構
B F R U' F D D - ඬ
B F R U' F D F - ᐆ
B F R D' R' R' - 𐔝
B F R D' R' L' - 비
B F R D' R' U' - Β
B F R D' R' B' - ġ
B F R D' R' D' - চ
B F R D' R' F' - Ţ
B F R D' U' R' - 𝓬
B F R D' U' L' - 𝓷
B F R D' U' U' - す
B F R D' U' B' - ◁
B F R D' U' D' - て
B F R D' U' F' - Ο
B F U L R F' R - ޫ
B F U L R F' L - ྱ
B F U L R F' U - ͆
B F U L R F' B - ẕ
B F U L R F' D - 委
B F U L R F' F - 돌
B F U L R' R R - 药
B F U L R' R L - ㄲ
B F U L R' R U - ㅌ
B F U L R' R B - ㅕ
B F U L R' R D - 寶
B F U L R' R F - ㅓ
B F U L R' L R - 陵
B F U L R' L L - 鲁
B F U L R' L U - 孟
B F U L R' L B - 足
B F U L R' L D - స
B F U L R' L F - 逸
B F U L R' U R - ₮
B F U L R' U L - ৳
B F U L R' U U - 榮
B F U L R' U B - ѡ
B F U L R' U D - 幕
B F U L R' U F - 龜
B F U L R' D R - ֞
B F U L R' D L - 👊
B F U L R' D U - 𝙲
B F U L R' D B - ܰ
B F U L R' D D - 蕭
B F U L R' D F - 薛
B F U L R' F R - Ἥ
B F U L R' F L - Ḧ
B F U L R' F U - Ḣ
B F U L R' F B - ℞
B F U L R' F D - 弥
B F U L R' F F - 遇
B F U L L R R' - Ո
B F U L L R L' - ܟ
B F U L L R U' - 範
B F U L L R B' - 쳐
B F U L L R D' - ඪ
B F U L L R F' - ඵ
B F U L L R' R - ඣ
B F U L L R' L - ඝ
B F U L L R' U - ඛ
B F U L L R' B - ̢
B F U L L R' D - 顏
B F U L L R' F - 瑚
B F U L L L R' - ◥
B F U L L L L' - 珊
B F U L L L U' - 礼
B F U L L L B' - 娜
B F U L L L D' - 厝
B F U L L L F' - ʸ
B F U L L L' R - 梨
B F U L L L' L - 데
B F U L L L' U - 솔
B F U L L L' B - 름
B F U L L L' D - 묵
B F U L L L' F - 좋
B F U L L U R' - 幡
B F U L L U L' - ∝
B F U L L U U' - ⁵
B F U L L U B' - 间
B F U L L U D' - ಣ
B F U L L U F' - 珠
B F U L L U' R - 새
B F U L L U' L - ᱨ
B F U L L U' U - ဝ
B F U L L U' B - ਂ
B F U L L U' D - Ὴ
B F U L L U' F - Ἢ
B F U L L B R' - 茱
B F U L L B L' - 雙
B F U L L B U' - ܛ
B F U L L B B' - 农
B F U L L B D' - ↦
B F U L L B F' - 哲
B F U L L B' R - 創
B F U L L B' L - 迫
B F U L L B' U - և
B F U L L B' B - 云
B F U L L B' D - ኚ
B F U L L B' F - 印
B F U L L D R' - 烏
B F U L L D L' - ិ
B F U L L D U' - 戲
B F U L L D B' - 號
B F U L L D D' - ན
B F U L L D F' - ॐ
B F U L L D' R - 焼
B F U L L D' L - ᖃ
B F U L L D' U - ḗ
B F U L L D' B - Ќ
B F U L L D' D - ǘ
B F U L L D' F - Ί
B F U L L F R' - 母
B F U L L F L' - 提
B F U L L F U' - ẫ
B F U L L F B' - 
B F U L L F D' - ੍
B F U L L F F' - ঠ
B F U L U R R' - ϡ
B F U L U R L' - Ἧ
B F U L U R U' - 樣
B F U L U R B' - 又
B F U L U R D' - 为
B F U L U R F' - ⅝
B F U L U R' R - ␥
B F U L U R' L - 寧
B F U L U R' U - ඳ
B F U L U R' B - 岗
B F U L U R' D - 僕
B F U L U R' F - 当
B F U B R U' R - 익
B F U B R U' L - 犬
B F U B R U' U - ǖ
B F U B R U' B - ⁰
B F U B R U' D - 𝕜
B F U B R U' F - ᆵ
B F U B U' B R - 📬
B F U B U' B L - ᅢ
B F U B U' B U - 叫
B F U B U' B B - 𝕝
B F U B U' B D - ཨ
B F U B U' B F - 祇
B F U B U' D R - 飯
B F U B U' D L - 빈
B F U B U' D U - Ｍ
B F U B U' D B - લ
B F U B U' D D - 査
B F U B U' D F - 防
B F U B U' F R - ᾌ
B F U B U' F L - Ὰ
B F U B U' F U - Ƿ
B F U B U' F B - ℂ
B F U B U' F D - 技
B F U B U' F F - 徒
B F U B B R R' - Җ
B F U B B R L' - Լ
B F U B B R U' - ㄕ
B F U B B R B' - 筒
B F U B B R D' - Ե
B F U B B R F' - 旦
B F U B B R' R - 煮
B F U B B R' L - 布
B F U B B R' U - ⲙ
B F U B B R' B - వ
B F U B B R' D - ѓ
B F U B B R' F - Ṝ
B F U B B L R' - 錢
B F U B B L L' - 狮
B F U B B L U' - 網
B F U B B L B' - 媽
B F U B B L D' - 然
B F U B B L F' - 卫
B F U B B U R' - 歴
B F U B B U L' - 蒙
B F U B B U U' - 脈
B F U B B U B' - 芳
B F U B B U D' - 藝
B F U B B U F' - ે
B F U B B B R' - 증
B F U B B B L' - ట
B F U B B B U' - 續
B F U B B B B' - 약
B F U B B B D' - ඤ
B F U B B B F' - ඏ
B F U B B D' R - 镇
B F U B B D' L - 还
B F U B B D' U - 衛
B F U B B D' B - 奪
B F U B B D' D - 這
B F U B B D' F - 麵
B F U B B F R' - 昇
B F U B B F L' - 關
B F U B B F U' - ぶ
B F U B B F B' - ぬ
B F U B B F D' - គ
B F U B B F F' - 內
B F U B B F' R - 冒
B F U B B F' L - 频
B F U B B F' U - 슈
B F U B B F' B - 住
B F U B B F' D - 직
B F U B B F' F - 엄
B F U B B' U R - 프
B F U B B' U L - 糖
B F U B B' U U - Ⅰ
B F U B B' U B - ỷ
B F U B B' U D - 啓
B F U B B' U F - 𐔌
B F U B B' B R - ڕ
B F U B B' B L - ∉
B F U B B' B U - ０
B F U B B' B B - 此
B F U B B' B D - ᱤ
B F U B B' B F - 吾
B F U B B' D R - 🥥
B F U B B' D L - ྲ
B F U B B' D U - 考
B F U B B' D B - ㅋ
B F U B B' D D - ಹ
B F U B B' D F - 楊
B F U B B' F R - Ỹ
B F U B B' F L - ₣
B F U B B' F U - ἔ
B F U B B' F B - Ѳ
B F U B B' F D - 桑
B F U B B' F F - ወ
B F U B' U' R' - Ḥ
B F U B' U' L' - ї
B F U B' U' U' - ļ
B F U B' U' B' - 國
B F U B' U' D' -  
B F U B' U' F' - ⟩
B F U F' L U R - ᖅ
B F U F' L U L - 埃
B F U F' L U U - 🙏
B F U F' L U B - 暉
B F U F' L U D - 暗
B F U F' L U F - ※
B F U F' L' R' - ป
B F U F' L' L' - ඩ
B F U F' L' U' - つ
B F U F' L' B' - ත
B F U F' L' D' - 生
B F U F' L' F' - 。
B F U F' D' R' - ꯇ
B F U F' D' L' - 조
B F U F' D' U' - ¥
B F U F' D' B' - 三
B F U F' D' D' - 서
B F U F' D' F' - ג
B F U F' F' R' - ョ
B F U F' F' L' - ফ
B F U F' F' U' - 강
B F U F' F' B' - 世
B F U F' F' D' - Α
B F U F' F' F' - 王
B F D' L' L R' - 明
B F D' L' L L' - 南
B F D' L' L' U - 金
B F D' L' L' F - ̩
B F D' L' B R' - ロ
B F D' L' B L' - ħ
B F D' L' B U' - 가
B F D' L' B B' - Ω
B F D' L' B D' - Σ
B F D' L' B F' - শ
B F D' L' F R' - פ
B F D' L' F L' - ष
B F D' L' F U' - ի
B F D' L' F B' - 한
B F D' L' F D' -  
B F D' L' F F' - 京
B F D' U' L R' - ண
B F D' U' L U' - ǔ
B F D' U' L B' - が
B F D' U' L D' - ή
B F D' U' L F' - 学
B F D' U' B' R - ド
B F D' U' B' L - গ
B F D' U' B' U - に
B F D' U' B' B - ꯢ
B F D' U' D U' - か
B F D' U' D D' - ≥
B F D' U' D F' - ʾ
B F D' U' F' L - আ
B F D' U' F' U - ไ
B F D' U' F' B - ɵ
B F D' U' F' D - ま
B F D' U' F' F - ĩ
B F D' B B D R - 以
B F D' B B D L - Ʀ
B F D' B B D U - ਵ
B F D' B B D B - Ԍ
B F D' B B D D - ∀
B F D' B B D F - ۸
B F D' B B F R - 刘
B F D' B B F L - 칙
B F D' B B F U - 른
B F D' B B F B - 혼
B F D' B B F D - 심
B F D' B B F F - 鶴
